date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 14:00;178.8212;240.7068;67.5652;13.0964;27.32;31.2;PR
06/04/2017 15:00;640.6742;488.0919;151.1581;26.6173;21.0;34.0;PR
06/04/2017 15:30;720.3543;548.6767;172.8093;36.264;21.0;34.0;PR
06/04/2017 16:00;606.7727;468.4157;148.6507;31.2093;20.53;34.47;PR
06/04/2017 16:30;407.3663;359.3667;108.1527;24.6293;19.73;35.0;PR
06/04/2017 17:00;409.266;353.8343;111.4083;23.93;19.0;35.0;PR
06/04/2017 17:30;228.701;219.3693;57.8203;17.0833;18.6;35.4;PR
06/04/2017 18:00;245.1203;229.3253;64.4797;19.8967;18.0;36.0;PR
06/04/2017 18:30;232.45;211.9583;58.121;18.4103;17.33;36.17;PR
06/04/2017 19:00;188.364;183.8747;53.331;15.162;16.73;37.07;PR
06/04/2017 19:30;213.1843;194.4393;63.2897;18.1147;16.0;38.0;PR
06/04/2017 20:00;401.8253;311.4523;107.38;31.112;16.0;38.2;PR
06/04/2017 20:30;338.356;293.4123;85.3893;26.715;15.37;39.23;PR
06/04/2017 21:00;235.5707;250.3987;77.1057;20.8773;15.0;40.53;PR
06/04/2017 21:30;208.816;205.4533;56.441;19.3413;15.0;40.83;PR
06/04/2017 22:00;151.5873;146.3223;38.6123;15.6843;14.93;41.07;PR
06/04/2017 22:30;97.518;96.6123;30.4517;13.337;14.0;41.3;PR
06/04/2017 23:00;172.2887;130.4087;47.5957;24.5353;14.0;40.07;PR
06/04/2017 23:30;226.6807;200.914;86.5717;33.8227;13.37;39.7;PR
07/04/2017 00:00;363.8277;235.5087;96.291;43.4067;13.0;39.57;PR
07/04/2017 00:30;318.4527;248.09;90.4193;34.9933;13.0;39.87;PR
07/04/2017 01:30;515.2287;261.802;169.9007;76.0887;13.0;40.0;PR
07/04/2017 02:00;561.7207;313.1937;154.5;72.5973;13.0;39.7;PR
07/04/2017 02:30;517.6483;357.38;150.649;59.0517;12.37;39.93;PR
07/04/2017 03:00;485.8867;339.325;143.8007;55.117;12.0;40.43;PR
07/04/2017 03:30;382.7355;290.4121;110.8386;38.0359;12.0;40.31;PR
07/04/2017 04:00;199.927;153.1073;49.771;18.3907;12.0;40.93;PR
07/04/2017 04:30;94.1763;87.8263;31.4647;12.6013;12.0;41.0;PR
07/04/2017 05:00;95.2343;82.853;41.0297;24.969;12.2;40.77;PR
07/04/2017 05:30;276.8613;211.4277;117.91;58.3747;13.3;39.0;PR
07/04/2017 06:00;170.8807;140.609;69.452;35.839;13.27;39.0;PR
07/04/2017 06:30;172.321;141.7067;64.3223;28.0703;17.6;36.6;PR
07/04/2017 07:00;74.3113;77.1763;26.6183;11.8447;25.1;32.2;PR
07/04/2017 07:30;72.314;149.2337;55.582;24.5077;27.07;31.17;PR
07/04/2017 08:00;90.1773;176.5217;43.2007;22.7963;28.97;30.3;PR
07/04/2017 08:30;129.7643;150.8267;41.6963;24.9307;30.23;29.77;PR
