date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 12:30;32.08;41.98;7.58;6.53;24.0;20.0;PR
06/04/2017 12:30;32.14;41.98;7.56;6.53;24.0;19.0;PR
06/04/2017 14:00;104.45;87.5133;60.9183;21.595;19.0;23.33;PR
06/04/2017 14:30;151.5837;155.9083;71.7013;29.3633;19.0;24.23;PR
06/04/2017 15:00;187.509;242.6273;96.3297;39.774;19.0;24.57;PR
06/04/2017 15:30;190.939;371.757;98.751;52.7327;18.9;23.8;PR
06/04/2017 16:00;206.4562;292.7824;95.6103;39.2907;18.21;28.41;PR
06/04/2017 16:30;182.6007;196.9847;72.0163;29.7337;17.3;36.03;PR
06/04/2017 17:00;195.011;190.4267;74.1963;28.3177;16.97;43.17;PR
06/04/2017 17:30;131.001;137.6103;36.1337;18.619;16.5;45.07;PR
06/04/2017 18:00;144.227;131.0267;48.2393;22.2727;16.0;47.67;PR
06/04/2017 18:30;130.4127;128.6113;37.483;20.197;15.27;48.6;PR
06/04/2017 19:00;100.5603;120.3643;32.2307;18.1193;15.03;50.57;PR
06/04/2017 19:30;99.6897;126.3413;39.7393;22.958;14.93;51.97;PR
06/04/2017 20:00;145.1987;195.6233;77.9373;36.888;14.13;57.33;PR
06/04/2017 20:30;139.9923;179.0687;58.6907;26.2063;13.6;62.77;PR
06/04/2017 21:00;109.2297;140.1533;39.571;21.485;13.03;64.13;PR
06/04/2017 22:00;62.29;88.134;15.17;12.246;13.0;61.2;PR
06/04/2017 22:30;61.9723;86.873;18.1483;15.0783;11.97;60.4;PR
06/04/2017 23:00;86.863;105.8623;31.6587;27.0097;11.93;55.4;PR
06/04/2017 23:30;112.7763;126.62;48.5017;37.665;11.47;54.0;PR
07/04/2017 00:00;142.8027;156.5917;74.147;54.2537;11.17;53.6;PR
07/04/2017 00:30;137.1903;153.8273;64.6407;38.0003;10.7;53.83;PR
07/04/2017 01:30;195.8707;224.3429;124.7971;64.6971;10.43;54.0;PR
07/04/2017 02:00;209.929;245.6537;122.9407;63.009;9.93;54.0;PR
07/04/2017 02:30;209.383;247.397;113.0457;50.5823;9.67;53.37;PR
07/04/2017 03:00;192.0733;238.518;99.0057;43.1213;9.6;53.47;PR
07/04/2017 03:30;151.454;202.0543;70.0017;33.5233;9.23;53.2;PR
07/04/2017 04:00;88.0283;137.7533;23.3917;18.314;9.47;53.9;PR
07/04/2017 04:30;59.803;100.1153;15.5343;14.0247;8.7;54.77;PR
07/04/2017 05:00;68.777;103.049;29.9167;27.7667;9.23;53.87;PR
07/04/2017 05:30;154.556;180.0043;90.042;70.6807;9.87;51.3;PR
07/04/2017 06:00;109.7933;146.505;51.6403;46.0403;9.57;50.77;PR
07/04/2017 06:30;110.8367;134.1413;46.409;34.298;11.67;48.47;PR
07/04/2017 07:00;56.9537;85.021;17.4893;13.848;14.6;43.1;PR
07/04/2017 07:30;116.4637;110.1727;43.1893;33.551;15.87;38.67;PR
07/04/2017 08:00;139.869;133.3027;58.437;28.497;18.1;30.33;PR
07/04/2017 08:30;131.0103;120.5613;60.5707;28.7963;22.1;20.97;PR
07/04/2017 09:00;100.8147;101.654;39.297;24.4647;25.0;17.83;PR
07/04/2017 09:30;85.1113;85.917;43.311;32.409;25.23;17.43;PR
07/04/2017 10:00;113.7238;60.4555;38.8848;33.6083;24.24;18.45;PR
07/04/2017 10:30;62.4517;76.6143;42.252;43.1803;22.27;18.93;PR
07/04/2017 11:00;44.0057;112.15;33.7537;68.0267;21.57;19.13;PR
07/04/2017 11:30;45.245;140.4163;30.6313;72.92;20.4;20.3;PR
07/04/2017 12:00;52.1363;198.1793;44.8307;94.7903;19.77;20.03;PR
07/04/2017 12:30;66.114;291.445;83.0653;152.3247;19.97;20.2;PR
07/04/2017 13:00;66.026;324.7553;75.396;137.6453;20.53;20.03;PR
07/04/2017 13:30;82.933;398.267;98.2913;159.6667;21.33;19.03;PR
07/04/2017 14:00;87.0517;451.0897;112.7307;188.174;18.5;23.27;PR
07/04/2017 14:30;107.9907;509.2107;148.0333;216.9173;16.2;35.87;PR
07/04/2017 15:00;123.4097;562.0733;158.0323;233.9673;15.5;39.2;PR
